         595791 function calls (592985 primitive calls) in 6.322 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      206    0.000    0.000    0.000    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/httpcore/_models.py:19(enforce_bytes)
      203    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:48(_is_dunder)
      196    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      190    0.001    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:850(__setattr__)
      183    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:1267(__hash__)
      177    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      177    0.003    0.000    0.006    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/typing_extensions.py:3228(_collect_parameters)
      177    0.001    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
      175    0.001    0.000    0.003    0.000 /usr/lib/python3.12/enum.py:390(__setitem__)
      175    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:70(_is_internal_class)
      174    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:723(<genexpr>)
      170    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
      170    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      170    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      167    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
    164/4    0.002    0.000    3.737    0.934 <frozen importlib._bootstrap>:1349(_find_and_load)
    163/3    0.002    0.000    3.737    1.246 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      163    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
      163    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:416(__enter__)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      162    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      162    0.000    0.000    0.000    0.000 /usr/lib/python3.12/dataclasses.py:697(_is_kw_only)
      162    0.001    0.000    0.006    0.000 /usr/lib/python3.12/_markupbase.py:165(parse_comment)
      162    0.000    0.000    0.000    0.000 /usr/lib/python3.12/dataclasses.py:683(_is_classvar)
      162    0.000    0.000    0.000    0.000 /usr/lib/python3.12/dataclasses.py:691(_is_initvar)
      162    0.000    0.000    0.005    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:269(handle_comment)
      160    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
      160    0.003    0.000    1.398    0.009 <frozen importlib._bootstrap>:1240(_find_spec)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
      160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      157    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      157    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      157    0.000    0.000    0.001    0.000 /usr/lib/python3.12/dataclasses.py:864(_set_new_attribute)
      157    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:38(_is_descriptor)
      156    0.000    0.000    1.392    0.009 <frozen importlib._bootstrap_external>:1520(find_spec)
      156    0.001    0.000    1.392    0.009 <frozen importlib._bootstrap_external>:1491(_get_spec)
    154/3    0.001    0.000    3.724    1.241 <frozen importlib._bootstrap>:911(_load_unlocked)
      154    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      154    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      154    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:1185(__init__)
      153    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      152    0.000    0.000    0.000    0.000 /usr/lib/python3.12/dataclasses.py:857(_set_qualname)
      150    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      150    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      150    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
  149/142    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      149    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:164(__len__)
      148    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      148    0.027    0.000    0.027    0.000 {built-in method marshal.loads}
      148    0.809    0.005    0.809    0.005 {built-in method _io.open_code}
      148    0.319    0.002    0.319    0.002 {method '__exit__' of '_io._IOBase' objects}
      148    0.378    0.003    0.378    0.003 {method 'read' of '_io.BufferedReader' objects}
      148    0.001    0.000    0.640    0.004 <frozen importlib._bootstrap_external>:1202(path_stats)
      148    0.002    0.000    1.507    0.010 <frozen importlib._bootstrap_external>:1183(get_data)
      148    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
      148    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
      148    0.004    0.000    2.188    0.015 <frozen importlib._bootstrap_external>:1062(get_code)
    148/3    0.001    0.000    3.724    1.241 <frozen importlib._bootstrap_external>:989(exec_module)
      148    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
      148    0.003    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      148    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      148    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      144    0.001    0.000    0.010    0.000 /usr/lib/python3.12/typing.py:1242(__init__)
      144    0.000    0.000    0.003    0.000 /usr/lib/python3.12/typing.py:1147(__init__)
      142    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:2310(get_origin)
      137    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      137    0.000    0.000    0.000    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/typing_extensions.py:3165(_is_unpacked_typevartuple)
      136    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      136    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:935(__eq__)
      133    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      127    0.002    0.000    0.025    0.000 /usr/lib/python3.12/dataclasses.py:449(_create_fn)
      124    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:1178(__getattr__)
      121    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      120    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:293(tell)
