         595791 function calls (592985 primitive calls) in 6.322 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_dynamic}
      162    0.000    0.000    0.005    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:269(handle_comment)
        4    0.000    0.000    0.001    0.000 /usr/lib/python3.12/collections/__init__.py:355(namedtuple)
      917    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      721    0.000    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/bs4/filter.py:321(matches_tag)
      207    0.000    0.000    0.772    0.004 <frozen importlib._bootstrap_external>:159(_path_isfile)
      592    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      284    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      157    0.000    0.000    0.001    0.000 /usr/lib/python3.12/dataclasses.py:864(_set_new_attribute)
      160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      338    0.000    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_receivebuffer.py:57(__bool__)
      144    0.000    0.000    0.003    0.000 /usr/lib/python3.12/typing.py:1147(__init__)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       31    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_compiler.py:243(_optimize_charset)
        5    0.000    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_headers.py:152(normalize_and_validate)
        1    0.000    0.000    0.002    0.002 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/anyio/_core/_tempfile.py:1(<module>)
      279    0.000    0.000    0.020    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/httpx/_decoders.py:95(decode)
      230    0.000    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      473    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      568    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      827    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      473    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      211    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:785(__delattr__)
       32    0.000    0.000    0.005    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_readers.py:94(maybe_read_from_SEND_RESPONSE_server)
      288    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:256(match)
      409    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:168(__getitem__)
      650    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        6    0.000    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/httpcore/_models.py:53(enforce_headers)
      568    0.000    0.000    0.000    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/httpx/_decoders.py:237(decode)
       51    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:345(_remove_dups_flatten)
     18/6    0.000    0.000    0.001    0.000 /usr/lib/python3.12/inspect.py:2470(_signature_from_callable)
      156    0.000    0.000    1.392    0.009 <frozen importlib._bootstrap_external>:1520(find_spec)
      287    0.000    0.000    0.000    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_connection.py:260(_server_switch_event)
    89/33    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:178(getwidth)
   109/66    0.000    0.000    0.575    0.009 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      295    0.000    0.000    0.000    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h11/_state.py:299(_fire_event_triggered_transitions)
    36/15    0.000    0.000    0.004    0.000 /usr/lib/python3.12/re/_parser.py:452(_parse_sub)
      298    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:632(cached)
      216    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:79(_is_private)
      160    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      639    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1252(__eq__)
        1    0.000    0.000    0.837    0.837 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/h2/connection.py:1(<module>)
      444    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      568    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       37    0.000    0.000    0.001    0.000 <frozen abc>:146(update_abstractmethods)
      311    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      285    0.000    0.000    0.185    0.001 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/httpcore/_sync/http11.py:330(__iter__)
      121    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       37    0.000    0.000    0.000    0.000 /usr/lib/python3.12/dataclasses.py:428(_fields_in_init_order)
       36    0.000    0.000    0.001    0.000 /usr/lib/python3.12/dataclasses.py:250(_recursive_repr)
      452    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       36    0.000    0.000    0.007    0.000 /usr/lib/python3.12/dataclasses.py:627(_repr_fn)
       11    0.000    0.000    0.001    0.000 /mnt/c/DSB4_Package_management.ID_1577671-1/src/ex00/marivede/lib/python3.12/site-packages/httpx/_models.py:144(__init__)
       38    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:1008(_find_data_type_)
       37    0.000    0.000    0.003    0.000 /usr/lib/python3.12/typing.py:1449(__getitem__)
       20    0.000    0.000    0.083    0.004 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      270    0.000    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:166(_type_convert)
        1    0.000    0.000    0.005    0.005 /usr/lib/python3.12/asyncio/events.py:1(<module>)
